date,symbol,root,settle
2015-02-26,HG.V.0,HG,2.7185
2015-02-26,LE.V.0,LE,149.85
2015-02-26,PL.V.0,PL,1177.7
2015-02-26,RB.V.0,RB,1.9377
2015-02-26,SI.V.0,SI,16.57
2015-02-26,ZC.V.0,ZC,388.25
2015-02-26,ZL.V.0,ZL,32.01
2015-02-26,ZM.V.0,ZM,344.6
2015-02-26,ZR.V.0,ZR,10.68
2015-02-26,ZS.V.0,ZS,1026.5
2015-02-27,CL.V.0,CL,49.52
2015-02-27,GC.V.0,GC,1213.7
2015-02-27,GF.V.0,GF,200.725
2015-02-27,HE.V.0,HE,67.8
2015-02-27,HG.V.0,HG,2.69
2015-02-27,LE.V.0,LE,152.1
2015-02-27,PL.V.0,PL,1188.0
2015-02-27,RB.V.0,RB,1.9759
2015-02-27,SI.V.0,SI,16.545
2015-02-27,ZC.V.0,ZC,391.5
2015-02-27,ZL.V.0,ZL,32.97
2015-02-27,ZM.V.0,ZM,341.4
2015-02-27,ZR.V.0,ZR,10.79
2015-02-27,ZS.V.0,ZS,1030.5
2015-03-01,CL.V.0,CL,49.39
2015-03-01,GC.V.0,GC,1213.9
2015-03-01,HG.V.0,HG,2.705
2015-03-01,PL.V.0,PL,1184.3
2015-03-01,RB.V.0,RB,1.9758
2015-03-01,SI.V.0,SI,16.62
2015-03-02,CL.V.0,CL,49.82
2015-03-02,GC.V.0,GC,1206.6
2015-03-02,GF.V.0,GF,202.075
2015-03-02,HE.V.0,HE,67.275
2015-03-02,HG.V.0,HG,2.6925
2015-03-02,LE.V.0,LE,153.5
2015-03-02,PL.V.0,PL,1187.3
2015-03-02,RB.V.0,RB,1.9185
2015-03-02,SI.V.0,SI,16.42
2015-03-02,ZC.V.0,ZC,388.0
2015-03-02,ZL.V.0,ZL,32.87
2015-03-02,ZM.V.0,ZM,333.4
2015-03-02,ZR.V.0,ZR,10.78
2015-03-02,ZS.V.0,ZS,1013.75
2015-03-03,CL.V.0,CL,50.47
2015-03-03,GC.V.0,GC,1204.2
2015-03-03,GF.V.0,GF,199.8
2015-03-03,HE.V.0,HE,65.35
2015-03-03,HG.V.0,HG,2.657
